"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Thornton S.; Riley C.; Wiltrout M.E.","Thornton, Sera (57194034922); Riley, Ceri (57194040383); Wiltrout, Mary Ellen (36710817100)","57194034922; 57194040383; 36710817100","Criteria for video engagement in a biology MOOC","2017","L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale","","","","291","294","3","6","10.1145/3051457.3054007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018426350&doi=10.1145%2f3051457.3054007&partnerID=40&md5=e4c68218dfe38d6c37c26ed36dce5cef","Conference paper","Final","","Scopus","2-s2.0-85018426350"
"Charitsis C.; Piech C.; Mitchell J.C.","Charitsis, Charis (57224625901); Piech, Chris (55142243300); Mitchell, John C. (7406514710)","57224625901; 55142243300; 7406514710","Using NLP to Quantify Program Decomposition in CS1","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","113","120","7","5","10.1145/3491140.3528272","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132168041&doi=10.1145%2f3491140.3528272&partnerID=40&md5=438c22cbde8902e90f7920e9f2fa09cf","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85132168041"
"Li C.; Xing W.","Li, Chenglu (57208421439); Xing, Wanli (55983407600)","57208421439; 55983407600","Revealing Factors Influencing Students' Perceived Fairness: A Case with a Predictive System for Math Learning","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","409","412","3","2","10.1145/3491140.3528293","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131592027&doi=10.1145%2f3491140.3528293&partnerID=40&md5=db407da0c07e9c5823d2066b20f79a2f","Conference paper","Final","","Scopus","2-s2.0-85131592027"
"Zhang Q.; MacLellan C.J.","Zhang, Qiao (58376758800); MacLellan, Christopher J. (23492963300)","58376758800; 23492963300","(A)I Will Teach You to Play Gomoku: Exploring the Use of Game AI to Teach People","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","263","266","3","1","10.1145/3491140.3528331","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132205334&doi=10.1145%2f3491140.3528331&partnerID=40&md5=3f092d22e7b57c9727285adb1c0d323e","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85132205334"
"García-Zarza P.; Bote-Lorenzo M.L.; Vega-Gorgojo G.; Asensio-Pérez J.I.","García-Zarza, Pablo (57219053429); Bote-Lorenzo, Miguel L. (6507192872); Vega-Gorgojo, Guillermo (55663517700); Asensio-Pérez, Juan I. (9270541300)","57219053429; 6507192872; 55663517700; 9270541300","Towards a Teacher Application to Support Semantic Annotations of Learning Tasks in Cultural Heritage","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","436","440","4","1","10.1145/3491140.3528335","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132158481&doi=10.1145%2f3491140.3528335&partnerID=40&md5=cdb384f231f26c8cfe616e43d0c4424b","Conference paper","Final","","Scopus","2-s2.0-85132158481"
"Chen B.; West M.; Zilles C.","Chen, Binglin (57194035737); West, Matthew (36867775200); Zilles, Craig (6602243123)","57194035737; 36867775200; 6602243123","Do performance trends suggest wide-spread collaborative cheating on asynchronous exams?","2017","L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale","","","","111","120","9","24","10.1145/3051457.3051465","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018443387&doi=10.1145%2f3051457.3051465&partnerID=40&md5=95995c8db54482ba3b0690c2c26aef82","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85018443387"
"Garcia D.; McMahon C.; Garcia Y.; West M.; Zilles C.","Garcia, Dan (57204538687); McMahon, Connor (57484057200); Garcia, Yuan (57748933400); West, Matthew (36867775200); Zilles, Craig (6602243123)","57204538687; 57484057200; 57748933400; 36867775200; 6602243123","Achieving ""A's for All (as Time and Interest Allow)""","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","255","258","3","5","10.1145/3491140.3528289","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132207909&doi=10.1145%2f3491140.3528289&partnerID=40&md5=4b6c49c44eae78462dc30cf6eb9723e7","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85132207909"
"Meaney M.J.","Meaney, Michael Joseph (57748962700)","57748962700","Designing and Building Inclusive, Entry-level Massive Open Online Courses (MOOCs): Perspectives from Producers","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","189","199","10","0","10.1145/3491140.3528281","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132140289&doi=10.1145%2f3491140.3528281&partnerID=40&md5=b74696d986eed4bf891ad8f32175f460","Conference paper","Final","","Scopus","2-s2.0-85132140289"
"","","","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","","","483","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132132150&partnerID=40&md5=1ac180752f65d4626a88b49834631c86","Conference review","Final","","Scopus","2-s2.0-85132132150"
"Porter G.","Porter, Gavin (8986671900)","8986671900","Collaborative Annotation: Links to Formative Assessment and Issues of Scale for Pedagogy","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","313","316","3","1","10.1145/3491140.3528322","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132188463&doi=10.1145%2f3491140.3528322&partnerID=40&md5=205cbd19b99d2b725c3e5e42eb3c07bb","Conference paper","Final","","Scopus","2-s2.0-85132188463"
